Tipologia de Ocorrência,mes,Regional,Ocorrências
Alagamento,Março,SR 1,0
Alagamento,Março,SR 2,2
Alagamento,Março,SR 3,4
Alagamento,Março,SR 4,1
Alagamento,Março,SR 5,1
Alagamento,Março,SR 6,4
Alagamento,Março,SR 7,4
Alagamento,Março,SR 8,1
Alagamento,Março,SR 9,3
Alagamento,Março,SR 10,2
Alagamento,Março,SR 11,1
Alagamento,Março,SR 12,1
Alagamento,Março,Todas,24
Outros,Março,SR 1,2
Outros,Março,SR 2,2
Outros,Março,SR 3,0
Outros,Março,SR 4,2
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,0
Outros,Março,SR 10,0
Outros,Março,SR 11,1
Outros,Março,SR 12,2
Outros,Março,Todas,9
Desabamento,Março,SR 1,6
Desabamento,Março,SR 2,3
Desabamento,Março,SR 3,0
Desabamento,Março,SR 4,4
Desabamento,Março,SR 5,0
Desabamento,Março,SR 6,3
Desabamento,Março,SR 7,2
Desabamento,Março,SR 8,0
Desabamento,Março,SR 9,1
Desabamento,Março,SR 10,2
Desabamento,Março,SR 11,3
Desabamento,Março,SR 12,2
Desabamento,Março,Todas,26
Outros,Março,SR 1,0
Outros,Março,SR 2,0
Outros,Março,SR 3,0
Outros,Março,SR 4,0
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,0
Outros,Março,SR 10,0
Outros,Março,SR 11,0
Outros,Março,SR 12,0
Outros,Março,Todas,0
Outros,Março,SR 1,0
Outros,Março,SR 2,0
Outros,Março,SR 3,0
Outros,Março,SR 4,0
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,0
Outros,Março,SR 10,0
Outros,Março,SR 11,0
Outros,Março,SR 12,0
Outros,Março,Todas,0
Risco de Desabamento,Março,SR 1,24
Risco de Desabamento,Março,SR 2,31
Risco de Desabamento,Março,SR 3,25
Risco de Desabamento,Março,SR 4,33
Risco de Desabamento,Março,SR 5,7
Risco de Desabamento,Março,SR 6,18
Risco de Desabamento,Março,SR 7,9
Risco de Desabamento,Março,SR 8,17
Risco de Desabamento,Março,SR 9,6
Risco de Desabamento,Março,SR 10,14
Risco de Desabamento,Março,SR 11,17
Risco de Desabamento,Março,SR 12,29
Risco de Desabamento,Março,Todas,230
Outros,Março,SR 1,0
Outros,Março,SR 2,1
Outros,Março,SR 3,0
Outros,Março,SR 4,0
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,0
Outros,Março,SR 10,0
Outros,Março,SR 11,0
Outros,Março,SR 12,0
Outros,Março,Todas,1
Outros,Março,SR 1,0
Outros,Março,SR 2,0
Outros,Março,SR 3,0
Outros,Março,SR 4,0
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,0
Outros,Março,SR 10,0
Outros,Março,SR 11,0
Outros,Março,SR 12,0
Outros,Março,Todas,0
Inundação,Março,SR 1,0
Inundação,Março,SR 2,0
Inundação,Março,SR 3,2
Inundação,Março,SR 4,5
Inundação,Março,SR 5,3
Inundação,Março,SR 6,3
Inundação,Março,SR 7,1
Inundação,Março,SR 8,0
Inundação,Março,SR 9,2
Inundação,Março,SR 10,1
Inundação,Março,SR 11,2
Inundação,Março,SR 12,0
Inundação,Março,Todas,19
Outros,Março,SR 1,0
Outros,Março,SR 2,0
Outros,Março,SR 3,0
Outros,Março,SR 4,1
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,0
Outros,Março,SR 10,3
Outros,Março,SR 11,0
Outros,Março,SR 12,0
Outros,Março,Todas,4
Outros,Março,SR 1,1
Outros,Março,SR 2,1
Outros,Março,SR 3,0
Outros,Março,SR 4,0
Outros,Março,SR 5,0
Outros,Março,SR 6,0
Outros,Março,SR 7,0
Outros,Março,SR 8,0
Outros,Março,SR 9,1
Outros,Março,SR 10,0
Outros,Março,SR 11,0
Outros,Março,SR 12,0
Outros,Março,Todas,3
Todos,Março,SR 1,33
Todos,Março,SR 2,40
Todos,Março,SR 3,31
Todos,Março,SR 4,46
Todos,Março,SR 5,11
Todos,Março,SR 6,28
Todos,Março,SR 7,16
Todos,Março,SR 8,18
Todos,Março,SR 9,13
Todos,Março,SR 10,22
Todos,Março,SR 11,24
Todos,Março,SR 12,34
Todos,Março,Todas,316
Alagamento,Abril,SR 1,3
Alagamento,Abril,SR 2,6
Alagamento,Abril,SR 3,4
Alagamento,Abril,SR 4,5
Alagamento,Abril,SR 5,0
Alagamento,Abril,SR 6,4
Alagamento,Abril,SR 7,7
Alagamento,Abril,SR 8,4
Alagamento,Abril,SR 9,1
Alagamento,Abril,SR 10,0
Alagamento,Abril,SR 11,2
Alagamento,Abril,SR 12,0
Alagamento,Abril,Todas,36
Outros,Abril,SR 1,0
Outros,Abril,SR 2,0
Outros,Abril,SR 3,1
Outros,Abril,SR 4,1
Outros,Abril,SR 5,0
Outros,Abril,SR 6,2
Outros,Abril,SR 7,0
Outros,Abril,SR 8,1
Outros,Abril,SR 9,0
Outros,Abril,SR 10,0
Outros,Abril,SR 11,0
Outros,Abril,SR 12,1
Outros,Abril,Todas,6
Desabamento,Abril,SR 1,5
Desabamento,Abril,SR 2,1
Desabamento,Abril,SR 3,7
Desabamento,Abril,SR 4,14
Desabamento,Abril,SR 5,1
Desabamento,Abril,SR 6,1
Desabamento,Abril,SR 7,2
Desabamento,Abril,SR 8,2
Desabamento,Abril,SR 9,2
Desabamento,Abril,SR 10,0
Desabamento,Abril,SR 11,2
Desabamento,Abril,SR 12,5
Desabamento,Abril,Todas,42
Outros,Abril,SR 1,0
Outros,Abril,SR 2,0
Outros,Abril,SR 3,0
Outros,Abril,SR 4,0
Outros,Abril,SR 5,0
Outros,Abril,SR 6,0
Outros,Abril,SR 7,0
Outros,Abril,SR 8,0
Outros,Abril,SR 9,0
Outros,Abril,SR 10,0
Outros,Abril,SR 11,0
Outros,Abril,SR 12,0
Outros,Abril,Todas,0
Outros,Abril,SR 1,0
Outros,Abril,SR 2,0
Outros,Abril,SR 3,0
Outros,Abril,SR 4,0
Outros,Abril,SR 5,0
Outros,Abril,SR 6,0
Outros,Abril,SR 7,0
Outros,Abril,SR 8,1
Outros,Abril,SR 9,0
Outros,Abril,SR 10,0
Outros,Abril,SR 11,0
Outros,Abril,SR 12,0
Outros,Abril,Todas,1
Risco de Desabamento,Abril,SR 1,26
Risco de Desabamento,Abril,SR 2,44
Risco de Desabamento,Abril,SR 3,19
Risco de Desabamento,Abril,SR 4,26
Risco de Desabamento,Abril,SR 5,7
Risco de Desabamento,Abril,SR 6,16
Risco de Desabamento,Abril,SR 7,14
Risco de Desabamento,Abril,SR 8,22
Risco de Desabamento,Abril,SR 9,6
Risco de Desabamento,Abril,SR 10,11
Risco de Desabamento,Abril,SR 11,20
Risco de Desabamento,Abril,SR 12,16
Risco de Desabamento,Abril,Todas,227
Outros,Abril,SR 1,0
Outros,Abril,SR 2,0
Outros,Abril,SR 3,0
Outros,Abril,SR 4,0
Outros,Abril,SR 5,0
Outros,Abril,SR 6,0
Outros,Abril,SR 7,1
Outros,Abril,SR 8,0
Outros,Abril,SR 9,0
Outros,Abril,SR 10,0
Outros,Abril,SR 11,0
Outros,Abril,SR 12,0
Outros,Abril,Todas,1
Outros,Abril,SR 1,0
Outros,Abril,SR 2,0
Outros,Abril,SR 3,0
Outros,Abril,SR 4,0
Outros,Abril,SR 5,0
Outros,Abril,SR 6,0
Outros,Abril,SR 7,0
Outros,Abril,SR 8,0
Outros,Abril,SR 9,1
Outros,Abril,SR 10,0
Outros,Abril,SR 11,0
Outros,Abril,SR 12,0
Outros,Abril,Todas,1
Inundação,Abril,SR 1,1
Inundação,Abril,SR 2,5
Inundação,Abril,SR 3,8
Inundação,Abril,SR 4,1
Inundação,Abril,SR 5,2
Inundação,Abril,SR 6,3
Inundação,Abril,SR 7,2
Inundação,Abril,SR 8,6
Inundação,Abril,SR 9,10
Inundação,Abril,SR 10,3
Inundação,Abril,SR 11,19
Inundação,Abril,SR 12,0
Inundação,Abril,Todas,60
Outros,Abril,SR 1,0
Outros,Abril,SR 2,1
Outros,Abril,SR 3,1
Outros,Abril,SR 4,0
Outros,Abril,SR 5,0
Outros,Abril,SR 6,1
Outros,Abril,SR 7,0
Outros,Abril,SR 8,0
Outros,Abril,SR 9,0
Outros,Abril,SR 10,3
Outros,Abril,SR 11,2
Outros,Abril,SR 12,0
Outros,Abril,Todas,8
Outros,Abril,SR 1,0
Outros,Abril,SR 2,4
Outros,Abril,SR 3,0
Outros,Abril,SR 4,4
Outros,Abril,SR 5,0
Outros,Abril,SR 6,0
Outros,Abril,SR 7,1
Outros,Abril,SR 8,1
Outros,Abril,SR 9,0
Outros,Abril,SR 10,0
Outros,Abril,SR 11,1
Outros,Abril,SR 12,0
Outros,Abril,Todas,11
Todos,Abril,SR 1,35
Todos,Abril,SR 2,61
Todos,Abril,SR 3,40
Todos,Abril,SR 4,51
Todos,Abril,SR 5,10
Todos,Abril,SR 6,27
Todos,Abril,SR 7,27
Todos,Abril,SR 8,37
Todos,Abril,SR 9,20
Todos,Abril,SR 10,17
Todos,Abril,SR 11,46
Todos,Abril,SR 12,22
Todos,Abril,Todas,393
